회사명,주관사,상장일,공모가,(수정)공모가,상장일,,,,1개월,,3개월,,6개월,,1년,,최근거래일 (2023-04-28),
미투젠,미래에셋증권 주식회사,2020-08-18,"27,000","27,000","29,100",7.8,"25,500",-5.6,"30,050",11.3,"27,500",1.9,"24,750",-8.3,"21,900",-18.9,"13,070",-51.6
브랜드엑스코퍼레이션,"대신증권㈜,삼성증권㈜",2020-08-13,"13,000","8,680","8,613",-0.8,"7,812",-10,"9,081",4.6,"7,412",-14.6,"7,311",-15.8,"9,047",4.2,"4,735",-45.4
영림원소프트랩,미래에셋증권 주식회사,2020-08-12,"11,500","11,500","17,600",53,"13,650",18.7,"17,750",54.3,"14,500",26.1,"14,200",23.5,"12,700",10.4,"9,100",-20.9
한국파마,미래에셋증권 주식회사,2020-08-10,"9,000","9,000","18,000",100,"16,850",87.2,"20,750",130.6,"24,350",170.6,"66,900",643.3,"56,000",522.2,"19,920",121.3
이루다,미래에셋증권 주식회사,2020-08-06,"9,000","4,108","8,217",100,"8,057",96.1,"6,848",66.7,"5,592",36.1,"6,026",46.7,"5,957",45,"7,410",80.4
와이팜,엔에이치투자증권주식회사,2020-07-31,"11,000","11,000","15,550",41.4,"18,800",70.9,"15,500",40.9,"12,550",14.1,"13,850",25.9,"9,200",-16.4,"2,495",-77.3
이엔드디,IBK투자증권㈜,2020-07-30,"14,400","14,400","18,200",26.4,"21,000",45.8,"28,000",94.4,"23,650",64.2,"37,800",162.5,"33,800",134.7,"36,450",153.1
에이치엠씨제4호스팩,현대차증권주식회사,2020-07-29,"2,000","2,000","2,010",0.5,"2,000",0,"1,995",-0.3,"2,005",0.3,"2,070",3.5,"2,175",8.8,"2,025",1.3
엠투아이,미래에셋증권 주식회사,2020-07-29,"15,600","7,818","9,447",20.8,"7,968",1.9,"7,392",-5.4,"7,542",-3.5,"9,422",20.5,"10,000",27.9,"9,950",27.3
더네이쳐홀딩스,한국투자증권㈜,2020-07-27,"46,000","23,000","20,700",-10,"21,500",-6.5,"21,450",-6.7,"21,250",-7.6,"20,325",-11.6,"36,400",58.3,"28,250",22.8
제놀루션,신영증권㈜,2020-07-24,"14,000","3,599","7,197",100,"6,362",76.8,"8,058",123.9,"10,127",181.4,"6,709",86.4,"9,521",164.6,"5,510",53.1
솔트룩스,한국투자증권㈜,2020-07-23,"25,000","12,520","20,033",60,"17,178",37.2,"14,299",14.2,"18,105",44.6,"17,529",40,"15,601",24.6,"23,650",88.9
하나금융16호스팩,하나증권주식회사,2020-07-23,"2,000","2,000","2,020",1,"2,020",1,"2,020",1,"2,035",1.8,"2,090",4.5,"2,440",22,"2,020",1
티에스아이,한국투자증권㈜,2020-07-22,"10,000","5,000","10,000",100,"8,600",72,"8,550",71,"6,200",24,"7,650",53,"9,380",87.6,"13,000",160
에이프로,엔에이치투자증권주식회사,2020-07-16,"21,600","10,800","21,600",100,"28,050",159.7,"22,225",105.8,"19,300",78.7,"23,775",120.1,"20,000",85.2,"15,220",40.9
IBKS제13호스팩,IBK투자증권㈜,2020-07-15,"2,000","1,861","1,870",0.5,"1,870",0.5,"1,884",1.3,"1,912",2.8,"1,973",6,"2,094",12.5,"2,020",8.6
소마젠,신한투자증권 주식회사,2020-07-13,"11,000","11,000","11,650",5.9,"15,100",37.3,"16,950",54.1,"15,100",37.3,"18,150",65,"13,650",24.1,"6,910",-37.2
신도기연,한국투자증권㈜,2020-07-06,"16,000","8,103","16,206",100,"11,344",40,"10,458",29.1,"11,268",39.1,"9,698",19.7,"9,166",13.1,"6,190",-23.6
위더스제약,"엔에이치투자증권주식회사,삼성증권㈜",2020-07-03,"15,900","10,600","21,200",100,"22,933",116.4,"16,300",53.8,"13,733",29.6,"14,500",36.8,"13,450",26.9,"7,650",-27.8
에스케이바이오팜,"엔에이치투자증권주식회사,씨티그룹글로벌마켓증권㈜",2020-07-02,"49,000","49,000","98,000",100,"127,000",159.2,"186,500",280.6,"159,000",224.5,"171,000",249,"123,500",152,"69,000",40.8
마크로밀엠브레인,엔에이치투자증권주식회사,2020-07-01,"6,800","3,400","6,800",100,"8,025",136,"4,580",34.7,"3,815",12.2,"3,835",12.8,"4,285",26,"3,365",-1
젠큐릭스,미래에셋증권 주식회사,2020-06-25,"22,700","18,717","20,695",10.6,"17,851",-4.6,"13,068",-30.2,"17,026",-9,"14,470",-22.7,"18,881",0.9,"4,265",-77.2
엘이티,미래에셋증권 주식회사,2020-06-22,"7,800","7,800","15,600",100,"20,250",159.6,"19,650",151.9,"17,850",128.8,"15,000",92.3,"19,800",153.8,"14,100",80.8
에스씨엠생명과학,한국투자증권㈜,2020-06-17,"17,000","17,000","29,500",73.5,"36,100",112.4,"26,000",52.9,"31,500",85.3,"34,700",104.1,"31,700",86.5,"11,320",-33.4
드림씨아이에스,엔에이치투자증권주식회사,2020-05-22,"14,900","14,900","28,000",87.9,"30,500",104.7,"26,050",74.8,"24,500",64.4,"19,550",31.2,"17,400",16.8,"11,220",-24.7
이베스트스팩5호,이베스트투자증권㈜,2020-05-20,"2,000","2,000","2,000",0,"2,000",0,"1,995",-0.3,"1,990",-0.5,"2,000",0,"2,100",5,"2,030",1.5
